region_id,code,name,kana
1,1,北海道,hokkaido
2,2,青森県,aomori
2,3,岩手県,iwate
2,4,宮城県,miyagi
2,5,秋田県,akita
2,6,山形県,yamagata
2,7,福島県,fukushima
3,8,茨城県,ibaraki
3,9,栃木県,tochigi
3,10,群馬県,gunma
3,11,埼玉県,saitama
3,12,千葉県,chiba
3,13,東京都,tokyo
3,14,神奈川県,kanagawa
4,15,新潟県,niigata
4,16,富山県,toyama
4,17,石川県,ishikawa
4,18,福井県,fukui
4,19,山梨県,yamanashi
4,20,長野県,nagano
4,21,岐阜県,gifu
4,22,静岡県,shizuoka
4,23,愛知県,aichi
5,24,三重県,mie
5,25,滋賀県,shiga
5,26,京都府,kyoto
5,27,大阪府,osaka
5,28,兵庫県,hyogo
5,29,奈良県,nara
5,30,和歌山県,wakayama
6,31,鳥取県,tottori
6,32,島根県,shimane
6,33,岡山県,okayama
6,34,広島県,hiroshima
6,35,山口県,yamaguchi
7,36,徳島県,tokushima
7,37,香川県,kagawa
7,38,愛媛県,ehime
7,39,高知県,kochi
8,40,福岡県,fukuoka
8,41,佐賀県,saga
8,42,長崎県,nagasaki
8,43,熊本県,kumamoto
8,44,大分県,oita
8,45,宮崎県,miyazaki
8,46,鹿児島県,kagoshima
8,47,沖縄県,okinawa
